prezzo,nome,carburante,cavalli,cilindrata,consumi,emissioni,potenza,serbatoio
78750.00,acura,Benzina,290,3.5,11.20,130.00,213.3,70.0
78750.00,acura,Benzina,290,3.5,11.20,130.00,213.3,70.0
56430.00,acura,Benzina,272,2.0,10.20,130.00,200.1,65.1
56430.00,acura,Benzina,272,2.0,10.20,130.00,200.1,65.1
63995.00,acura,Benzina,272,2.0,10.70,130.00,213.3,50.0
63995.00,acura,Benzina,206,2.4,10.70,130.00,213.3,50.0
63995.00,acura,Benzina,150,3.0,10.70,130.00,213.3,50.0
63995.00,acura,Benzina,290,3.5,10.70,130.00,213.3,50.0
63995.00,acura,Benzina,355,3.0,10.70,130.00,213.3,50.0
37500.00,acura,Benzina,201,2.4,8.40,130.00,147.8,50.0
62895.00,acura,Ibrido,310,3.5,8.10,130.00,228.0,57.2
62895.00,acura,Ibrido,377,3.5,8.10,130.00,228.0,57.2
222200.00,acura,Ibrido,573,3.5,11.20,130.00,372.9,50.0
50800.00,acura,Benzina,324,2.0,9.83,130.00,238.6,50.0
99000.00,alfa-romeo,Diesel,280,2.0,5.50,144.00,154.5,57.9
99000.00,alfa-romeo,Diesel,210,2.2,5.50,144.00,154.5,57.9
109000.00,alfa-romeo,Diesel,280,2.0,6.40,158.00,154.5,64.0
109000.00,alfa-romeo,Diesel,210,2.2,6.40,158.00,154.5,64.0
72500.00,alfa-romeo,Diesel,120,1.4,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,170,1.4,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,150,1.4,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,240,1.8,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,120,1.6,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,120,1.6,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,175,2.0,4.20,130.00,110.3,60.2
72500.00,alfa-romeo,Diesel,150,2.0,4.20,130.00,110.3,60.2
149900.00,alfa-romeo,Benzina,240,1.8,6.80,130.00,177.0,50.0
139920.00,alfa-romeo,Benzina,240,1.7,8.40,130.00,177.0,50.0
99000.00,alfa-romeo,Diesel,280,2.1,4.70,130.00,154.4,50.0
99000.00,alfa-romeo,Diesel,210,2.1,4.70,130.00,154.4,50.0
162700.00,alfa-romeo,Benzina,510,2.9,9.00,130.00,375.1,64.0
349999.00,alfa-romeo,Benzina,540,2.9,6.78,130.00,397.2,57.9
99000.00,alfa-romeo,Benzina,510,2.9,8.20,130.00,375.0,57.9
99000.00,alfa-romeo,Benzina,510,2.9,8.20,130.00,375.0,57.9
78500.00,alfa-romeo,Ibrido-Benzina,130,1.5,6.89,130.00,95.6,50.0
114372.00,alpine,Benzina,304,1.8,6.80,153.00,223.7,45.0
148000.00,alpine,Benzina,300,1.8,6.89,130.00,220.6,45.0
77301.00,ariel,Benzina,500,3.0,7.10,130.00,373.0,50.0
105000.00,ariel,Benzina,238,2.4,6.89,130.00,175.0,50.0
1499000.00,aston-martin,Benzina,690,5.2,6.89,130.00,507.5,50.0
